Timestamp,Filename,Violation Type,Confidence
20250506_200915,20250506_200915_20250506_200913_no-vest_conf0.82.jpg,no-vest,0.8181577920913696
20250506_200924,20250506_200924_20250506_200922_no-vest_conf0.56.jpg,no-vest,0.560744047164917
20250506_200927,20250506_200927_20250506_200925_no-helm_conf0.76.jpg,no-helm,0.7623918652534485
20250506_200940,20250506_200940_20250506_200938_no-helm_conf0.57.jpg,no-helm,0.5677255392074585
20250506_200948,20250506_200948_20250506_200946_no-helm_conf0.79.jpg,no-helm,0.7902691960334778
20250506_200953,20250506_200953_20250506_200951_no-helm_conf0.53.jpg,no-helm,0.5270189642906189
20250506_200955,20250506_200955_20250506_200953_no-vest_conf0.63.jpg,no-vest,0.6318253874778748
20250506_200957,20250506_200957_20250506_200955_no-vest_conf0.55.jpg,no-vest,0.5538951754570007
20250506_204118,20250506_204118_20250506_204116_no-vest_conf0.56.jpg,no-vest,0.5581183433532715
20250506_204121,20250506_204121_20250506_204118_no-vest_conf0.51.jpg,no-vest,0.5122935175895691
20250506_204123,20250506_204123_20250506_204121_no-vest_conf0.51.jpg,no-vest,0.5106064081192017
20250506_204125,20250506_204125_20250506_204123_no-vest_conf0.52.jpg,no-vest,0.5217709541320801
20250506_204128,20250506_204128_20250506_204126_no-vest_conf0.50.jpg,no-vest,0.5029286742210388
20250506_204130,20250506_204130_20250506_204128_no-vest_conf0.54.jpg,no-vest,0.539512574672699
20250506_204132,20250506_204132_20250506_204130_no-vest_conf0.57.jpg,no-vest,0.5656980276107788
20250506_204135,20250506_204135_20250506_204133_no-vest_conf0.59.jpg,no-vest,0.5875381827354431
20250506_204137,20250506_204137_20250506_204135_no-vest_conf0.60.jpg,no-vest,0.6049185395240784
20250506_204140,20250506_204140_20250506_204138_no-vest_conf0.56.jpg,no-vest,0.5641787052154541
20250506_204142,20250506_204142_20250506_204140_no-vest_conf0.51.jpg,no-vest,0.5070827603340149
20250506_204145,20250506_204145_20250506_204142_no-vest_conf0.54.jpg,no-vest,0.5429698824882507
20250506_204147,20250506_204147_20250506_204145_no-vest_conf0.51.jpg,no-vest,0.5114864110946655
20250506_204149,20250506_204149_20250506_204147_no-vest_conf0.54.jpg,no-vest,0.5441650152206421
20250506_204152,20250506_204152_20250506_204149_no-vest_conf0.54.jpg,no-vest,0.5413622856140137
20250506_204154,20250506_204154_20250506_204152_no-vest_conf0.56.jpg,no-vest,0.5588722229003906
20250506_204156,20250506_204156_20250506_204154_no-vest_conf0.63.jpg,no-vest,0.627426266670227
20250506_204159,20250506_204159_20250506_204157_no-vest_conf0.63.jpg,no-vest,0.6321577429771423
20250506_204201,20250506_204201_20250506_204159_no-vest_conf0.54.jpg,no-vest,0.5363301634788513
